address,square_feet,url,price,price_per_sq_ft,status,number_of_beds,number_of_bathrooms
"1333 Wessling Dr, Northbrook, IL 60062","2,862",https://www.zillow.com/homedetails/1333-Wessling-Dr-Northbrook-IL-60062/3332154_zpid/,"$425,000",148.49755415793152,Sold,4,2
"10 The Court Of Hidden Bay, Northbrook, IL 60062","1,823",https://www.zillow.com/homedetails/10-The-Court-Of-Hidden-Bay-Northbrook-IL-60062/3333696_zpid/,"$350,000",191.99122325836532,Sold,2,2
"3829 Medford Cir, Northbrook, IL 60062","3,422",https://www.zillow.com/homedetails/3829-Medford-Cir-Northbrook-IL-60062/3331784_zpid/,"$500,000",146.11338398597312,Sold,6,4
"1914 Farnsworth Ln Unit 105, Northbrook, IL 60062","1,374",https://www.zillow.com/homedetails/1914-Farnsworth-Ln-UNIT-105-Northbrook-IL-60062/70452698_zpid/,"$280,000",203.78457059679766,Sold,2,2
"1745 Pondside Dr, Northbrook, IL 60062","2,738",https://www.zillow.com/homedetails/1745-Pondside-Dr-Northbrook-IL-60062/3338782_zpid/,"$600,000",219.1380569758948,Sold,5,3
"1440 Sycamore Ln, Northbrook, IL 60062","2,007",https://www.zillow.com/homedetails/1440-Sycamore-Ln-Northbrook-IL-60062/3336946_zpid/,"$435,000",216.74140508221225,Sold,3,2
"2025 Maplewood Rd, Northbrook, IL 60062","3,239",https://www.zillow.com/homedetails/2025-Maplewood-Rd-Northbrook-IL-60062/3329416_zpid/,"$735,000",226.9218894720593,Sold,4,5
"1780 Central Ave, Northbrook, IL 60062","1,100",https://www.zillow.com/homedetails/1780-Central-Ave-Northbrook-IL-60062/3340078_zpid/,"$346,000",314.54545454545456,Sold,4,2
"2865 Hillcrest Ln, Northbrook, IL 60062","3,023",https://www.zillow.com/homedetails/2865-Hillcrest-Ln-Northbrook-IL-60062/3333845_zpid/,"$778,000",257.36023817399933,Sold,3,4
"2430 Cobblewood Dr, Northbrook, IL 60062","3,200",https://www.zillow.com/homedetails/2430-Cobblewood-Dr-Northbrook-IL-60062/3343475_zpid/,"$445,000",139.0625,Sold,4,3
"245 Arrowwood Dr, Northbrook, IL 60062","2,100",https://www.zillow.com/homedetails/245-Arrowwood-Dr-Northbrook-IL-60062/3279180_zpid/,"$390,000",185.71428571428572,Sold,2,2
"1814 Maple Ave, Northbrook, IL 60062","1,711",https://www.zillow.com/homedetails/1814-Maple-Ave-Northbrook-IL-60062/3336801_zpid/,"$560,000",327.2939801285798,Sold,3,2
"3718 Provenance Way, Northbrook, IL 60062","2,081",https://www.zillow.com/homedetails/3718-Provenance-Way-Northbrook-IL-60062/306331775_zpid/,"$476,057",228.76357520422874,Sold,3,3
"1712 Illinois Rd, Northbrook, IL 60062","1,218",https://www.zillow.com/homedetails/1712-Illinois-Rd-Northbrook-IL-60062/3336919_zpid/,"$336,500",276.27257799671594,Sold,3,1
"1531 Spruce St, Northbrook, IL 60062","2,036",https://www.zillow.com/homedetails/1531-Spruce-St-Northbrook-IL-60062/3336904_zpid/,"$452,500",222.24950884086445,Sold,3,2
"1010 Spring Hill Dr #402, Northbrook, IL 60062","1,800",https://www.zillow.com/homedetails/1010-Spring-Hill-Dr-402-Northbrook-IL-60062/3332795_zpid/,"$268,000",148.88888888888889,Sold,2,3
"814 Colonnades Dr, Northbrook, IL 60062","1,991",https://www.zillow.com/homedetails/814-Colonnades-Dr-Northbrook-IL-60062/3337256_zpid/,"$320,000",160.7232546459066,Sold,3,3
"1126 Voltz Rd, Northbrook, IL 60062","4,300",https://www.zillow.com/homedetails/1126-Voltz-Rd-Northbrook-IL-60062/3337727_zpid/,"$959,000",223.02325581395348,Sold,5,5
"1652 Longvalley Dr, Northbrook, IL 60062","2,663",https://www.zillow.com/homedetails/1652-Longvalley-Dr-Northbrook-IL-60062/3340231_zpid/,"$450,000",168.98235073225686,Sold,4,3
"3841 Medford Cir, Northbrook, IL 60062","3,422",https://www.zillow.com/homedetails/3841-Medford-Cir-Northbrook-IL-60062/3331786_zpid/,"$695,000",203.09760374050262,Sold,5,3
"1561 Woodview Ln, Northbrook, IL 60062","3,759",https://www.zillow.com/homedetails/1561-Woodview-Ln-Northbrook-IL-60062/253422524_zpid/,$1.25M,332.53524873636604,Sold,3,4
"1120 Saranac Ln, Northbrook, IL 60062","2,009",https://www.zillow.com/homedetails/1120-Saranac-Ln-Northbrook-IL-60062/3334353_zpid/,"$480,000",238.9248382279741,Sold,3,2
"3852 S Parkway Dr Apt 2a, Northbrook, IL 60062",,https://www.zillow.com/homedetails/3852-S-Parkway-Dr-APT-2A-Northbrook-IL-60062/2113264851_zpid/,"$123,000",123000.0,Sold,2,1
"2555 Brian Dr, Northbrook, IL 60062","3,000",https://www.zillow.com/homedetails/2555-Brian-Dr-Northbrook-IL-60062/3343495_zpid/,"$442,000",147.33333333333334,Sold,4,3
"25 The Court Of Greenway, Northbrook, IL 60062","1,759",https://www.zillow.com/homedetails/25-The-Court-Of-Greenway-Northbrook-IL-60062/3332572_zpid/,"$325,000",184.7640704945992,Sold,2,2
"2450 Cobblewood Dr, Northbrook, IL 60062","1,600",https://www.zillow.com/homedetails/2450-Cobblewood-Dr-Northbrook-IL-60062/3343413_zpid/,"$340,000",212.5,Sold,3,3
"2060 Shermer Rd, Northbrook, IL 60062","1,624",https://www.zillow.com/homedetails/2060-Shermer-Rd-Northbrook-IL-60062/3339777_zpid/,"$325,000",200.1231527093596,Sold,4,2
"1731 Mission Hills Rd, Northbrook, IL 60062","2,155",https://www.zillow.com/homedetails/1731-Mission-Hills-Rd-Northbrook-IL-60062/2079110413_zpid/,"$370,000",171.6937354988399,Sold,3,4
"2247 Southbridge Ln, Northbrook, IL 60062","3,479",https://www.zillow.com/homedetails/2247-Southbridge-Ln-Northbrook-IL-60062/3339828_zpid/,"$790,000",227.07674619143432,Sold,6,3
"1569 Suzann Ter, Northbrook, IL 60062","4,800",https://www.zillow.com/homedetails/1569-Suzann-Ter-Northbrook-IL-60062/3338714_zpid/,$1.21M,252.08333333333334,Sold,6,7
"1246 Western Ave, Northbrook, IL 60062","2,654",https://www.zillow.com/homedetails/1246-Western-Ave-Northbrook-IL-60062/3334851_zpid/,"$680,000",256.2170308967596,Sold,4,3
"3702 Radcliffe Dr, Northbrook, IL 60062","2,372",https://www.zillow.com/homedetails/3702-Radcliffe-Dr-Northbrook-IL-60062/3332492_zpid/,"$547,500",230.81787521079258,Sold,4,2
"4000 Dundee Rd #109b, Northbrook, IL 60062","1,260",https://www.zillow.com/homedetails/4000-Dundee-Rd-109B-Northbrook-IL-60062/3330926_zpid/,"$175,000",138.88888888888889,Sold,2,2
"2150 Valencia Dr Apt 111a, Northbrook, IL 60062","1,200",https://www.zillow.com/homedetails/2150-Valencia-Dr-APT-111A-Northbrook-IL-60062/3343823_zpid/,"$189,000",157.5,Sold,2,2
"2243 Illinois Rd, Northbrook, IL 60062","1,096",https://www.zillow.com/homedetails/2243-Illinois-Rd-Northbrook-IL-60062/3335674_zpid/,$1.03M,939.7810218978102,Sold,5,5
"1932 Summerton Pl, Northbrook, IL 60062","2,000",https://www.zillow.com/homedetails/1932-Summerton-Pl-Northbrook-IL-60062/3339499_zpid/,"$335,000",167.5,Sold,3,2
"17 Timber Ln, Northbrook, IL 60062","2,031",https://www.zillow.com/homedetails/17-Timber-Ln-Northbrook-IL-60062/3336252_zpid/,"$590,000",290.49729197439683,Sold,3,3
"1740 Ellendale Dr, Northbrook, IL 60062","3,161",https://www.zillow.com/homedetails/1740-Ellendale-Dr-Northbrook-IL-60062/3339060_zpid/,"$735,000",232.52135400189815,Sold,5,4
"2655 Woodland Dr, Northbrook, IL 60062","3,447",https://www.zillow.com/homedetails/2655-Woodland-Dr-Northbrook-IL-60062/3339703_zpid/,"$625,000",181.31708732230925,Sold,5,4
"1470 Juli Lyn Ln, Northbrook, IL 60062","3,253",https://www.zillow.com/homedetails/1470-Juli-Lyn-Ln-Northbrook-IL-60062/3332053_zpid/,"$491,250",151.01444820166,Sold,4,4
"1949 Milton Ave, Northbrook, IL 60062","1,110",https://www.zillow.com/homedetails/1949-Milton-Ave-Northbrook-IL-60062/3336046_zpid/,"$310,000",279.27927927927925,Sold,3,1
"227 Voltz Rd, Northbrook, IL 60062","2,098",https://www.zillow.com/homedetails/227-Voltz-Rd-Northbrook-IL-60062/3338214_zpid/,"$335,000",159.67588179218302,Sold,3,3
"334 Chipili Dr, Northbrook, IL 60062","1,409",https://www.zillow.com/homedetails/334-Chipili-Dr-Northbrook-IL-60062/3338067_zpid/,"$299,000",212.2072391767211,Sold,3,2
"1331 Pfingsten Rd, Northbrook, IL 60062","4,200",https://www.zillow.com/homedetails/1331-Pfingsten-Rd-Northbrook-IL-60062/3334805_zpid/,"$722,000",171.9047619047619,Sold,5,5
"3085 Pheasant Creek Dr Apt 314, Northbrook, IL 60062",825,https://www.zillow.com/homedetails/3085-Pheasant-Creek-Dr-APT-314-Northbrook-IL-60062/3332776_zpid/,"$155,000",187.87878787878788,Sold,1, 
